"""p""","""sumP"""
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":238,""class"":""firstClass"",""idf"":235},{""name"":""MCO""}]",2137.05
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":294,""class"":""firstClass"",""idf"":291},{""name"":""FLL""}]",2631.8
"[{""name"":""LAX""},{""idt"":648,""class"":""economy"",""idf"":647},{""name"":""BOS""},{""name"":""BOS""},{""idt"":548,""class"":""economy"",""idf"":547},{""name"":""IAD""}]",2356.5
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":881,""class"":""business"",""idf"":879},{""name"":""AUS""}]",1219.25
"[{""name"":""LAX""},{""idt"":957,""class"":""business"",""idf"":955},{""name"":""FAT""}]",222
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":448,""class"":""economy"",""idf"":447},{""name"":""MFE""}]",1962.1499999999999
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":736,""class"":""economy"",""idf"":735},{""name"":""CRP""}]",1586.75
"[{""name"":""LAX""},{""idt"":929,""class"":""business"",""idf"":927},{""name"":""ABQ""}]",706
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":725,""class"":""business"",""idf"":723},{""name"":""CRP""}]",1283.25
"[{""name"":""LAX""},{""idt"":1010,""class"":""firstClass"",""idf"":1007},{""name"":""SMF""},{""name"":""SMF""},{""idt"":180,""class"":""economy"",""idf"":179},{""name"":""DEN""}]",1181.1
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":730,""class"":""firstClass"",""idf"":727},{""name"":""CRP""}]",1967.9999999999998
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":760,""class"":""economy"",""idf"":759},{""name"":""TUL""}]",1763.75
"[{""name"":""LAX""},{""idt"":1001,""class"":""business"",""idf"":999},{""name"":""SMF""},{""name"":""SMF""},{""idt"":180,""class"":""economy"",""idf"":179},{""name"":""DEN""}]",1103.5
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":712,""class"":""economy"",""idf"":711},{""name"":""CRP""}]",1872.1499999999999
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":100,""class"":""economy"",""idf"":99},{""name"":""DFW""}]",1890.1499999999999
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":754,""class"":""firstClass"",""idf"":751},{""name"":""ORF""}]",2922.2
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":528,""class"":""economy"",""idf"":527},{""name"":""ORD""}]",2433.8999999999996
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":96,""class"":""economy"",""idf"":95},{""name"":""LGA""}]",2815.6499999999996
"[{""name"":""LAX""},{""idt"":1000,""class"":""economy"",""idf"":999},{""name"":""SMF""},{""name"":""SMF""},{""idt"":181,""class"":""business"",""idf"":179},{""name"":""DEN""}]",1241.5
"[{""name"":""LAX""},{""idt"":970,""class"":""firstClass"",""idf"":967},{""name"":""ABQ""}]",846
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":729,""class"":""business"",""idf"":727},{""name"":""CRP""}]",1640
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":762,""class"":""firstClass"",""idf"":759},{""name"":""TUL""}]",1609.05
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":101,""class"":""business"",""idf"":99},{""name"":""DFW""}]",1664
"[{""name"":""LAX""},{""idt"":932,""class"":""economy"",""idf"":931},{""name"":""ABQ""}]",528.75
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":88,""class"":""economy"",""idf"":87},{""name"":""MCO""}]",1737.75
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":530,""class"":""firstClass"",""idf"":527},{""name"":""ORD""}]",2581.3999999999996
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":734,""class"":""firstClass"",""idf"":731},{""name"":""CRP""}]",1970.3999999999999
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":293,""class"":""business"",""idf"":291},{""name"":""FLL""}]",2074.25
"[{""name"":""LAX""},{""idt"":997,""class"":""business"",""idf"":995},{""name"":""SMF""},{""name"":""SMF""},{""idt"":182,""class"":""firstClass"",""idf"":179},{""name"":""DEN""}]",1528.2
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":529,""class"":""business"",""idf"":527},{""name"":""ORD""}]",2032.25
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":97,""class"":""business"",""idf"":95},{""name"":""LGA""}]",2898
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":753,""class"":""business"",""idf"":751},{""name"":""ORF""}]",2316.25
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":102,""class"":""firstClass"",""idf"":99},{""name"":""DFW""}]",1354.65
"[{""name"":""LAX""},{""idt"":648,""class"":""economy"",""idf"":647},{""name"":""BOS""},{""name"":""BOS""},{""idt"":629,""class"":""business"",""idf"":627},{""name"":""IAD""}]",2462
